precision_condition,shot_count,num_demonstration_selections,mean_accuracy,std_accuracy,mean_ece_10_bins,std_ece_10_bins,standard_deviation_definition
bf16,0,1,0.8772935779816514,,0.1066285075124251,,
bf16,1,6,0.8442278287461774,0.06814828354659047,0.12639907969657435,0.05777061465887567,sample standard deviation (n-1)
bf16,2,6,0.8946865443425076,0.03174279334650874,0.08793538279079512,0.02581716364737476,sample standard deviation (n-1)
bf16,4,6,0.9256498470948012,0.008746224150342185,0.06270200648666888,0.005626908351961322,sample standard deviation (n-1)
bf16,8,6,0.9250764525993884,0.00682957536211845,0.06359186244484845,0.005703663553107122,sample standard deviation (n-1)
4bit_nf4,0,1,0.9013761467889908,,0.0834762412336988,,
4bit_nf4,1,6,0.8627675840978594,0.09622828443820941,0.10446001585880554,0.08196068054184791,sample standard deviation (n-1)
4bit_nf4,2,6,0.9116972477064221,0.023299862567340002,0.06640611822497584,0.015753903628743685,sample standard deviation (n-1)
4bit_nf4,4,6,0.9334862385321102,0.012913475468127737,0.05358832929887177,0.010377081495171178,sample standard deviation (n-1)
4bit_nf4,8,6,0.9287079510703364,0.006584473187215354,0.05684767375253027,0.00679761289514734,sample standard deviation (n-1)
