precision_condition,shot_count,demonstration_seed,num_examples,accuracy,ece_10_bins
bf16,0,,872,0.8772935779816514,0.1066285075124251
bf16,1,0,872,0.9220183486238532,0.06435240866667627
bf16,1,1,872,0.8990825688073395,0.08848847291611757
bf16,1,2,872,0.8279816513761468,0.12958632395901812
bf16,1,3,872,0.731651376146789,0.2269219419824967
bf16,1,4,872,0.8669724770642202,0.09924253609475742
bf16,1,5,872,0.8176605504587156,0.14980279456037995
bf16,2,0,872,0.9243119266055045,0.0642296705360806
bf16,2,1,872,0.9243119266055045,0.06492460204647216
bf16,2,2,872,0.841743119266055,0.13142664545993188
bf16,2,3,872,0.8795871559633027,0.10248567977356259
bf16,2,4,872,0.9094036697247706,0.07619653348255585
bf16,2,5,872,0.8887614678899083,0.08834916544616771
bf16,4,0,872,0.9334862385321101,0.058571240428937736
bf16,4,1,872,0.9369266055045872,0.05579702870561444
bf16,4,2,872,0.9208715596330275,0.06884984781435864
bf16,4,3,872,0.9128440366972477,0.06992603558192562
bf16,4,4,872,0.926605504587156,0.06218863722928073
bf16,4,5,872,0.9231651376146789,0.06087924915989609
bf16,8,0,872,0.9231651376146789,0.06756346242143473
bf16,8,1,872,0.930045871559633,0.06316122357998416
bf16,8,2,872,0.9162844036697247,0.07077318136024914
bf16,8,3,872,0.9185779816513762,0.06616775636826086
bf16,8,4,872,0.9288990825688074,0.05675231897776282
bf16,8,5,872,0.9334862385321101,0.05713323196139899
4bit_nf4,0,,872,0.9013761467889908,0.0834762412336988
4bit_nf4,1,0,872,0.9426605504587156,0.04228606772258745
4bit_nf4,1,1,872,0.911697247706422,0.06725562281838252
4bit_nf4,1,2,872,0.9128440366972477,0.0537143428938105
4bit_nf4,1,3,872,0.6972477064220184,0.24945988635951233
4bit_nf4,1,4,872,0.9174311926605505,0.058417638849227835
4bit_nf4,1,5,872,0.7947247706422018,0.1556265365093126
4bit_nf4,2,0,872,0.926605504587156,0.056984149192998136
4bit_nf4,2,1,872,0.9438073394495413,0.045386612346959676
4bit_nf4,2,2,872,0.8784403669724771,0.08842866621706458
4bit_nf4,2,3,872,0.8944954128440367,0.08076411239597771
4bit_nf4,2,4,872,0.9185779816513762,0.06255528064222503
4bit_nf4,2,5,872,0.908256880733945,0.0643178885546299
4bit_nf4,4,0,872,0.9334862385321101,0.053078499750806724
4bit_nf4,4,1,872,0.9472477064220184,0.04472115430810042
4bit_nf4,4,2,872,0.9105504587155964,0.07221032576550032
4bit_nf4,4,3,872,0.9392201834862385,0.0482292772706496
4bit_nf4,4,4,872,0.9288990825688074,0.0578293680734591
4bit_nf4,4,5,872,0.9415137614678899,0.04546135062471445
4bit_nf4,8,0,872,0.9288990825688074,0.05853998442308611
4bit_nf4,8,1,872,0.9323394495412844,0.057530893303385545
4bit_nf4,8,2,872,0.9162844036697247,0.06911095074557387
4bit_nf4,8,3,872,0.9323394495412844,0.05367863150911592
4bit_nf4,8,4,872,0.9277522935779816,0.05197837067033175
4bit_nf4,8,5,872,0.9346330275229358,0.05024721186368841
