shot_count,demonstration_seed,accuracy_gap_4bit_minus_bf16,ece_gap_4bit_minus_bf16
0,,0.02408256880733939,-0.023152266278726297
1,0,0.020642201834862317,-0.022066340944088818
1,1,0.012614678899082521,-0.021232850097735054
1,2,0.08486238532110091,-0.07587198106520762
1,3,-0.0344036697247706,0.022537944377015617
1,4,0.050458715596330306,-0.04082489724552958
1,5,-0.022935779816513735,0.005823741948932648
2,0,0.002293577981651418,-0.007245521343082463
2,1,0.019495412844036775,-0.01953798969951248
2,2,0.03669724770642202,-0.0429979792428673
2,3,0.014908256880733939,-0.021721567377584877
2,4,0.00917431192660556,-0.013641252840330825
2,5,0.019495412844036664,-0.024031276891537806
4,0,0.0,-0.005492740678131013
4,1,0.010321100917431214,-0.011075874397514021
4,2,-0.010321100917431103,0.00336047795114168
4,3,0.026376146788990806,-0.021696758311276015
4,4,0.002293577981651418,-0.004359269155821632
4,5,0.01834862385321101,-0.015417898535181641
8,0,0.005733944954128489,-0.009023477998348614
8,1,0.002293577981651418,-0.005630330276598615
8,2,0.0,-0.0016622306146752697
8,3,0.013761467889908285,-0.01248912485914494
8,4,-0.0011467889908257645,-0.004773948307431067
8,5,0.0011467889908256534,-0.006886020097710575
